chrom	start	gene	strand	LIC-dRNA-nonpolyA	LIC-dRNA-cDNA-polyA	LIC-dRNA-polyA	Q29-dRNA-nonpolyA-R1	Q29-dRNA-nonpolyA-R2	clusters
NC_005823.1	1813183	LIC_RS07515	-	1812827;2	NA	NA	NA	NA	1438
NC_005823.1	1813345	unaware	-	NA	NA	NA	1812927;2	NA	1439
NC_005823.1	1818286	LIC_RS07530	-	NA	NA	NA	1817222;7	NA	1440
NC_005823.1	1818297	LIC_RS07530	-	NA	NA	NA	NA	1816760;2	1441
NC_005823.1	1818316	LIC_RS07530	-	NA	NA	NA	1817898;4	NA	1442
NC_005823.1	1818319	LIC_RS07530	-	1817581;2	NA	NA	NA	NA	1442
NC_005823.1	1819979	unaware	-	NA	NA	NA	NA	1819450;7	1443
NC_005823.1	1819981	unaware	-	1819451;3	NA	NA	NA	NA	1443
NC_005823.1	1819986	unaware	-	NA	NA	NA	1819294;27	NA	1443
NC_005823.1	1820901	LIC_RS20800	-	NA	NA	NA	1820732;5	NA	1444
NC_005823.1	1820904	LIC_RS20800	-	NA	NA	NA	NA	1820782;1	1444
NC_005823.1	1820921	LIC_RS20800	-	1820386;1	NA	NA	NA	NA	1445
NC_005823.1	1821025	LIC_RS20800	-	NA	NA	NA	1820204;5	NA	1446
NC_005823.1	1821031	LIC_RS20800	-	NA	NA	NA	NA	1820875;1	1446
NC_005823.1	1821064	LIC_RS20800	-	1820865;1	NA	NA	NA	NA	1447
NC_005823.1	1821114	LIC_RS20800	-	1820895;1	NA	NA	NA	1820780;1	1448
NC_005823.1	1821297	unaware	-	1820944;3	NA	NA	NA	NA	1449
NC_005823.1	1821424	unaware	-	NA	NA	1820996;2	NA	NA	1450
NC_005823.1	1821425	unaware	-	NA	NA	NA	1820979;48	1820979;17	1450
NC_005823.1	1821805	unaware	-	NA	NA	NA	1821389;2	NA	1451
NC_005823.1	1823771	unaware	-	NA	NA	NA	1823267;3	NA	1452
NC_005823.1	1824069	unaware	-	NA	NA	NA	NA	1823660;2	1453
NC_005823.1	1824261	unaware	-	NA	NA	NA	NA	1824055;2	1454
NC_005823.1	1826581	unaware	-	NA	NA	NA	NA	1825911;4	1455
NC_005823.1	1827633	unaware	-	NA	NA	NA	1827070;7	1827444;3	1456
NC_005823.1	1831352	unaware	-	1831143;2	NA	NA	NA	NA	1457
NC_005823.1	1832477	LIC_RS07600	-	NA	NA	NA	NA	1832005;17	1458
NC_005823.1	1832481	LIC_RS07600	-	1831587;4	NA	NA	NA	NA	1458
NC_005823.1	1832482	LIC_RS07600	-	NA	NA	NA	1832005;102	NA	1458
NC_005823.1	1833552	LIC_RS07605	-	NA	NA	NA	1833244;2	NA	1459
NC_005823.1	1836111	LIC_RS07620	-	NA	NA	NA	NA	1835546;1	1460
NC_005823.1	1836196	LIC_RS07620	-	NA	NA	NA	1835545;1	NA	1461
NC_005823.1	1836211	LIC_RS07620	-	NA	NA	NA	1835969;1	NA	1462
NC_005823.1	1836215	LIC_RS07620	-	NA	NA	NA	NA	1835894;2	1462
NC_005823.1	1836279	LIC_RS07620	-	NA	NA	NA	1836087;1	NA	1463
NC_005823.1	1837140	LIC_RS07625	-	NA	NA	NA	1836428;7	NA	1464
NC_005823.1	1837168	LIC_RS07625	-	1836500;9	NA	NA	NA	NA	1465
NC_005823.1	1837175	LIC_RS07625	-	NA	NA	NA	NA	1836500;17	1465
NC_005823.1	1838250	unaware	-	NA	NA	NA	1837480;97	1837192;26	1466
NC_005823.1	1838254	unaware	-	1837500;3	NA	NA	NA	NA	1466
NC_005823.1	1839954	unaware	-	NA	NA	NA	NA	1839572;5	1467
NC_005823.1	1839955	unaware	-	NA	NA	NA	1839550;4	NA	1467
NC_005823.1	1840560	LIC_RS07640	-	NA	NA	NA	1840038;7	NA	1468
NC_005823.1	1840953	unaware	-	NA	NA	NA	NA	1840688;2	1469
NC_005823.1	1843613	unaware	-	NA	NA	NA	1843229;4	NA	1470
NC_005823.1	1845356	LIC_RS07660	-	1845196;1	NA	NA	NA	NA	1471
NC_005823.1	1845362	LIC_RS07660	-	NA	NA	NA	NA	1845221;1	1471
NC_005823.1	1845381	LIC_RS07660	-	NA	NA	NA	1845145;2	NA	1472
NC_005823.1	1845461	LIC_RS07660	-	NA	NA	NA	1845170;2	NA	1473
NC_005823.1	1845470	LIC_RS07660	-	NA	NA	NA	NA	1845028;1	1473
NC_005823.1	1845505	LIC_RS07660	-	NA	NA	NA	NA	1845196;1	1474
NC_005823.1	1845686	LIC_RS07660	-	1845156;1	NA	NA	NA	NA	1475
NC_005823.1	1845869	LIC_RS07665	-	NA	NA	NA	1845561;30	1845229;5	1476
NC_005823.1	1845872	LIC_RS07665	-	1845334;3	NA	NA	NA	NA	1476
NC_005823.1	1846837	unaware	-	NA	NA	NA	1846264;9	NA	1477
NC_005823.1	1846840	LIC_RS07670	-	NA	NA	NA	NA	1846060;3	1477
NC_005823.1	1852939	unaware	-	NA	NA	NA	NA	1852610;3	1478
NC_005823.1	1852940	unaware	-	NA	NA	NA	1852611;8	NA	1478
NC_005823.1	1861511	unaware	-	NA	NA	NA	1861224;4	1861116;2	1479
NC_005823.1	1864239	unaware	-	NA	NA	NA	1864052;3	NA	1480
NC_005823.1	1864654	unaware	-	NA	NA	NA	NA	1864259;2	1481
NC_005823.1	1865425	unaware	-	NA	NA	NA	1865086;4	NA	1482
NC_005823.1	1867742	unaware	-	1867474;3	NA	NA	1866946;23	1867475;7	1483
NC_005823.1	1868582	unaware	-	NA	NA	NA	1867696;23	1867869;2	1484
NC_005823.1	1868605	unaware	-	1868274;2	NA	NA	NA	NA	1485
NC_005823.1	1869227	LIC_RS07740	-	1868747;1	NA	NA	NA	NA	1486
NC_005823.1	1869228	LIC_RS07740	-	NA	NA	NA	1868791;2	NA	1486
NC_005823.1	1869240	LIC_RS07740	-	1868363;1	NA	NA	NA	NA	1487
NC_005823.1	1869764	unaware	-	NA	NA	NA	NA	1869215;3	1488
NC_005823.1	1869768	unaware	-	NA	NA	NA	1869224;24	NA	1488
NC_005823.1	1869789	LIC_RS07745	-	NA	NA	NA	1869221;3	1869439;2	1489
NC_005823.1	1870154	LIC_RS07745	-	NA	NA	NA	1869231;2	NA	1490
NC_005823.1	1870389	unaware	-	NA	NA	NA	1868756;19	NA	1491
NC_005823.1	1870391	unaware	-	NA	NA	NA	NA	1869935;3	1491
NC_005823.1	1870488	LIC_RS07750	-	NA	NA	NA	1869674;5	NA	1492
NC_005823.1	1872994	unaware	-	NA	NA	NA	1872694;2	NA	1493
NC_005823.1	1879021	unaware	-	NA	NA	NA	1878711;3	NA	1494
NC_005823.1	1880597	LIC_RS07795	-	NA	NA	NA	1880489;1	NA	1495
NC_005823.1	1880643	LIC_RS07795	-	NA	NA	NA	1880329;1	NA	1496
NC_005823.1	1881136	LIC_RS07800	-	NA	NA	NA	NA	1880791;1	1497
NC_005823.1	1881305	LIC_RS07800	-	1880984;1	NA	NA	NA	NA	1498
NC_005823.1	1881306	LIC_RS07800	-	NA	NA	NA	1880355;3	NA	1498
NC_005823.1	1881309	LIC_RS07800	-	NA	NA	NA	NA	1881028;1	1498
NC_005823.1	1881321	LIC_RS07800	-	1880776;1	NA	NA	NA	NA	1499
NC_005823.1	1881344	LIC_RS07800	-	NA	NA	NA	NA	1880734;1	1500
NC_005823.1	1884532	LIC_RS07810	-	NA	NA	NA	1884042;3	NA	1501
NC_005823.1	1885801	unaware	-	1885419;2	NA	NA	NA	NA	1502
NC_005823.1	1886213	unaware	-	NA	NA	NA	1885713;2	NA	1503
NC_005823.1	1886787	LIC_RS07815	-	NA	NA	NA	1886459;2	NA	1504
NC_005823.1	1887465	LIC_RS07825	-	1886892;2	NA	NA	NA	NA	1505
NC_005823.1	1887468	LIC_RS07825	-	NA	NA	NA	1887211;4	NA	1505
NC_005823.1	1887702	LIC_RS07825	-	1887210;1	NA	NA	NA	NA	1506
NC_005823.1	1888751	LIC_RS07830	-	NA	NA	NA	NA	1887929;5	1507
NC_005823.1	1888923	LIC_RS07830	-	1888181;3	NA	NA	NA	NA	1508
NC_005823.1	1888939	LIC_RS07830	-	1888683;6	NA	NA	NA	NA	1509
NC_005823.1	1888941	LIC_RS07830	-	NA	NA	NA	1888627;9	NA	1509
NC_005823.1	1889928	unaware	-	1889480;2	NA	NA	NA	NA	1510
NC_005823.1	1890348	unaware	-	1890006;3	NA	NA	NA	NA	1511
NC_005823.1	1890854	unaware	-	NA	NA	NA	1890127;36	NA	1512
NC_005823.1	1890856	unaware	-	NA	NA	NA	NA	1890188;12	1512
NC_005823.1	1890893	LIC_RS07835	-	NA	NA	NA	1889101;3	NA	1513
NC_005823.1	1892399	LIC_RS07840	-	1891956;2	NA	NA	1892119;61	1891374;9	1514
NC_005823.1	1892449	LIC_RS07840	-	1892003;2	NA	NA	NA	NA	1515
NC_005823.1	1893054	unaware	-	1892497;2	NA	NA	NA	NA	1516
NC_005823.1	1893151	LIC_RS07845	-	NA	NA	NA	NA	1892995;1	1517
NC_005823.1	1893164	LIC_RS07845	-	NA	NA	NA	1892277;3	NA	1518
NC_005823.1	1893176	LIC_RS07845	-	NA	NA	NA	NA	1892458;1	1519
NC_005823.1	1893210	LIC_RS07845	-	NA	NA	NA	NA	1892514;1	1520
NC_005823.1	1896024	LIC_RS07855	-	NA	NA	NA	1895922;10	NA	1521
NC_005823.1	1896092	unaware	-	1895926;132	NA	NA	1895926;1048	1895926;325	1522
NC_005823.1	1897652	unaware	-	NA	NA	NA	1897474;7	NA	1523
NC_005823.1	1899773	unaware	-	NA	NA	NA	NA	1899561;4	1524
NC_005823.1	1900304	unaware	-	NA	NA	NA	1899640;8	NA	1525
NC_005823.1	1908538	unaware	-	NA	NA	NA	1908290;2	NA	1526
NC_005823.1	1910293	unaware	-	NA	NA	NA	1910034;2	NA	1527
NC_005823.1	1917423	unaware	-	NA	NA	NA	1916961;6	NA	1528
NC_005823.1	1919191	unaware	-	NA	NA	NA	1918948;2	NA	1529
NC_005823.1	1920713	unaware	-	NA	NA	NA	NA	1920467;2	1530
NC_005823.1	1922111	unaware	-	NA	NA	NA	1921922;7	NA	1531
NC_005823.1	1922116	unaware	-	NA	NA	NA	NA	1921797;2	1531
NC_005823.1	1925320	unaware	-	NA	NA	NA	1924765;2	NA	1532
NC_005823.1	1926113	unaware	-	NA	NA	NA	1925779;4	NA	1533
NC_005823.1	1926114	unaware	-	NA	NA	NA	NA	1925554;2	1533
NC_005823.1	1932880	unaware	-	NA	NA	NA	1932661;2	NA	1534
NC_005823.1	1936931	unaware	-	NA	NA	NA	1936564;2	NA	1535
NC_005823.1	1941834	unaware	-	NA	NA	NA	1941491;3	NA	1536
NC_005823.1	1943643	LIC_RS08110	-	NA	NA	NA	1943009;25	1943007;3	1537
NC_005823.1	1943667	LIC_RS08110	-	1943003;1	NA	NA	NA	NA	1538
NC_005823.1	1943671	LIC_RS08110	-	NA	NA	NA	NA	1943009;6	1538
NC_005823.1	1943678	LIC_RS08110	-	1943294;1	NA	NA	NA	NA	1538
NC_005823.1	1948949	LIC_RS08125	-	1948521;11	NA	NA	1948528;132	1948656;34	1539
NC_005823.1	1949093	unaware	-	NA	NA	NA	1948655;2	NA	1540
NC_005823.1	1950311	LIC_RS08140	-	NA	NA	NA	NA	1949604;7	1541
NC_005823.1	1950313	LIC_RS08140	-	NA	NA	NA	1949972;22	NA	1541
NC_005823.1	1950340	LIC_RS08140	-	NA	NA	NA	1949972;31	NA	1542
NC_005823.1	1951549	LIC_RS08145	-	1950948;2	1951298;1	NA	NA	1951321;7	1543
NC_005823.1	1951550	LIC_RS08145	-	NA	NA	NA	1951043;23	NA	1543
NC_005823.1	1951770	LIC_RS08145	-	NA	1950757;1	NA	NA	NA	1544
NC_005823.1	1951925	LIC_RS08145	-	1951413;2	NA	NA	NA	NA	1545
NC_005823.1	1952653	LIC_RS08150	-	NA	NA	NA	1951991;2	NA	1546
NC_005823.1	1953163	unaware	-	NA	NA	NA	NA	1951967;6	1547
NC_005823.1	1953164	unaware	-	NA	NA	NA	1952618;19	NA	1547
NC_005823.1	1953468	unaware	-	NA	NA	NA	NA	1952649;2	1548
NC_005823.1	1953472	LIC_RS08155	-	NA	NA	NA	1952651;3	NA	1548
NC_005823.1	1954239	unaware	-	1953867;5	1953866;3	NA	1953867;25	NA	1549
NC_005823.1	1955048	unaware	-	NA	NA	NA	1954649;16	NA	1550
NC_005823.1	1955381	unaware	-	1955120;2	NA	NA	NA	NA	1551
NC_005823.1	1955840	LIC_RS08165	-	1955456;5	NA	NA	NA	NA	1552
NC_005823.1	1955842	LIC_RS08165	-	NA	NA	NA	1955619;105	1954833;20	1552
NC_005823.1	1962037	unaware	-	NA	NA	NA	1961582;4	NA	1553
NC_005823.1	1962084	unaware	-	NA	NA	NA	1961653;2	NA	1554
NC_005823.1	1964822	unaware	-	NA	NA	NA	1964456;2	NA	1555
NC_005823.1	1966417	LIC_RS08210	-	NA	NA	NA	1965918;19	NA	1556
NC_005823.1	1966422	LIC_RS08210	-	1966025;3	NA	NA	NA	NA	1556
NC_005823.1	1966425	LIC_RS08210	-	NA	NA	NA	NA	1965918;3	1556
NC_005823.1	1968487	unaware	-	NA	NA	NA	1968165;3	NA	1557
NC_005823.1	1970105	LIC_RS08235	-	NA	NA	NA	1969346;3	NA	1558
NC_005823.1	1970203	LIC_RS08235	-	NA	NA	NA	NA	1969575;2	1559
NC_005823.1	1970207	unaware	-	NA	NA	NA	1969300;10	NA	1559
NC_005823.1	1970902	unaware	-	NA	NA	NA	1970745;15	NA	1560
NC_005823.1	1972409	unaware	-	NA	NA	NA	NA	1971804;3	1561
NC_005823.1	1972530	unaware	-	NA	NA	NA	1971836;3	NA	1562
NC_005823.1	1977794	unaware	-	NA	NA	NA	1977490;11	NA	1563
NC_005823.1	1979013	unaware	-	NA	NA	NA	NA	1978862;2	1564
NC_005823.1	1980038	LIC_RS08275	-	1979576;63	1979572;17	1979575;4	1979576;1196	1979576;251	1565
NC_005823.1	1980145	unaware	-	NA	NA	NA	NA	1979820;2	1566
NC_005823.1	1980914	LIC_RS08280	-	NA	NA	NA	1980243;14	NA	1567
NC_005823.1	1981176	LIC_RS08280	-	NA	NA	NA	NA	1980288;2	1568
NC_005823.1	1981225	unaware	-	1980890;2	NA	NA	NA	NA	1569
NC_005823.1	1981601	LIC_RS08285	-	NA	NA	NA	1981214;1	NA	1570
NC_005823.1	1981615	LIC_RS08285	-	NA	NA	NA	1981121;2	1981122;2	1571
NC_005823.1	1981837	unaware	-	NA	NA	NA	1981113;6	NA	1572
NC_005823.1	1981891	unaware	-	NA	NA	NA	NA	1981587;2	1573
NC_005823.1	1988543	unaware	-	NA	NA	NA	1988181;3	NA	1574
NC_005823.1	1994283	unaware	-	1993715;3	NA	NA	NA	NA	1575
NC_005823.1	1994284	unaware	-	NA	NA	NA	1993879;29	1993207;7	1575
NC_005823.1	1994879	unaware	-	1994654;3	NA	NA	NA	NA	1576
NC_005823.1	1997588	unaware	-	NA	NA	NA	NA	1997216;2	1577
NC_005823.1	1997602	unaware	-	NA	NA	NA	1997336;3	NA	1578
NC_005823.1	1998804	unaware	-	NA	NA	NA	NA	1998183;3	1579
NC_005823.1	1999941	LIC_RS08355	-	1999800;1	NA	NA	NA	NA	1580
NC_005823.1	1999957	LIC_RS08355	-	NA	NA	NA	NA	1999314;2	1581
NC_005823.1	1999966	LIC_RS08355	-	NA	NA	NA	1999618;27	NA	1581
NC_005823.1	1999969	LIC_RS08355	-	1999712;1	NA	NA	NA	NA	1581
NC_005823.1	2000025	LIC_RS08355	-	NA	NA	NA	NA	1999331;1	1582
NC_005823.1	2000871	unaware	-	2000268;2	NA	NA	NA	NA	1583
NC_005823.1	2000979	unaware	-	NA	NA	NA	2000348;55	2000029;14	1584
NC_005823.1	2001098	LIC_RS08360	-	NA	NA	NA	NA	2000813;2	1585
NC_005823.1	2001116	LIC_RS08360	-	NA	NA	NA	2000786;2	NA	1586
NC_005823.1	2001143	LIC_RS08360	-	NA	NA	2000260;2	NA	NA	1587
NC_005823.1	2001153	LIC_RS08360	-	NA	NA	NA	2000817;3	NA	1587
NC_005823.1	2001989	unaware	-	NA	NA	NA	2001038;17	2001103;4	1588
NC_005823.1	2005559	LIC_RS08390	-	NA	NA	NA	2005300;27	2004400;1	1589
NC_005823.1	2005564	LIC_RS08390	-	2005301;2	NA	NA	NA	NA	1589
NC_005823.1	2005630	LIC_RS08390	-	NA	NA	NA	NA	2005385;1	1590
NC_005823.1	2007728	unaware	-	2007033;3	NA	NA	NA	2006483;8	1591
NC_005823.1	2007730	unaware	-	NA	NA	NA	2007034;35	NA	1591
NC_005823.1	2008394	unaware	-	NA	NA	NA	2007792;5	NA	1592
NC_005823.1	2013104	LIC_RS08420	-	NA	NA	NA	2012389;21	2011979;5	1593
NC_005823.1	2018017	LIC_RS08440	-	NA	NA	NA	2017558;2	NA	1594
NC_005823.1	2018040	LIC_RS08440	-	NA	NA	NA	2017379;2	NA	1595
NC_005823.1	2018628	LIC_RS08445	-	2018316;9	NA	NA	2017931;114	2017916;27	1596
NC_005823.1	2018629	LIC_RS08445	-	NA	2017923;2	NA	NA	NA	1596
NC_005823.1	2018651	unaware	-	2018315;2	NA	NA	NA	NA	1597
NC_005823.1	2019502	unaware	-	2018918;2	NA	NA	NA	NA	1598
NC_005823.1	2019503	unaware	-	NA	NA	NA	2018919;26	NA	1598
NC_005823.1	2019516	unaware	-	NA	NA	NA	NA	2018682;12	1599
NC_005823.1	2019736	LIC_RS08450	-	NA	NA	NA	2019516;2	NA	1600
NC_005823.1	2019752	LIC_RS08450	-	NA	NA	NA	2019422;2	NA	1601
NC_005823.1	2020266	LIC_RS08455	-	NA	NA	NA	2019899;1	NA	1602
NC_005823.1	2020332	LIC_RS08455	-	NA	NA	NA	2020009;1	NA	1603
NC_005823.1	2020336	LIC_RS08455	-	NA	NA	NA	NA	2020035;1	1603
NC_005823.1	2020470	LIC_RS08455	-	NA	NA	NA	NA	2019899;1	1604
NC_005823.1	2020933	unaware	-	NA	NA	NA	2020204;30	NA	1605
NC_005823.1	2021784	LIC_RS08460	-	2021396;3	NA	NA	NA	2020554;11	1606
NC_005823.1	2021786	LIC_RS08460	-	NA	NA	NA	2021379;29	NA	1606
NC_005823.1	2022006	unaware	-	NA	NA	NA	2021461;16	NA	1607
NC_005823.1	2022027	unaware	-	NA	NA	NA	NA	2021378;4	1608
NC_005823.1	2022681	LIC_RS08465	-	NA	NA	NA	2022324;2	NA	1609
NC_005823.1	2022692	unaware	-	2021997;2	NA	NA	2022252;16	NA	1610
NC_005823.1	2024536	unaware	-	NA	NA	NA	2024249;7	NA	1611
NC_005823.1	2024639	LIC_RS08485	-	NA	NA	NA	2024129;3	2024043;1	1612
NC_005823.1	2024914	LIC_RS08485	-	NA	NA	NA	NA	2024348;1	1613
NC_005823.1	2024933	LIC_RS08485	-	NA	NA	NA	NA	2024564;1	1614
NC_005823.1	2025145	unaware	-	2024691;4	NA	NA	NA	NA	1615
NC_005823.1	2025360	LIC_RS08490	-	NA	NA	NA	NA	2025054;2	1616
NC_005823.1	2025380	LIC_RS08490	-	NA	NA	NA	NA	2024923;1	1617
NC_005823.1	2025830	LIC_RS08495	-	NA	NA	NA	2024814;14	2025057;2	1618
NC_005823.1	2028687	LIC_RS08510	-	NA	NA	NA	2028332;2	NA	1619
NC_005823.1	2030399	LIC_RS08515	-	NA	NA	NA	NA	2030225;1	1620
NC_005823.1	2030498	LIC_RS08515	-	2030185;1	NA	NA	NA	NA	1621
NC_005823.1	2030524	LIC_RS08515	-	2030369;1	NA	NA	NA	NA	1622
NC_005823.1	2030595	LIC_RS08515	-	NA	NA	NA	2030043;3	NA	1623
NC_005823.1	2030620	LIC_RS08515	-	NA	NA	NA	NA	2030167;1	1624
NC_005823.1	2031186	unaware	-	NA	NA	NA	NA	2030848;5	1625
NC_005823.1	2031742	LIC_RS08520	-	2031283;1	NA	NA	2031281;32	2030857;5	1626
NC_005823.1	2031912	LIC_RS08520	-	2031281;1	NA	NA	NA	NA	1627
NC_005823.1	2031912	unaware	-	NA	NA	NA	2031712;4	NA	1627
NC_005823.1	2032451	unaware	-	NA	NA	NA	2032219;2	NA	1628
NC_005823.1	2036771	unaware	-	2036538;2	NA	NA	NA	NA	1629
NC_005823.1	2037068	LIC_RS08540	-	NA	NA	NA	2036784;17	NA	1630
NC_005823.1	2038650	LIC_RS08545	-	2038371;1	NA	NA	NA	NA	1631
NC_005823.1	2038666	LIC_RS08545	-	2037484;2	NA	NA	NA	NA	1632
NC_005823.1	2038668	LIC_RS08545	-	NA	NA	NA	2038279;23	2037715;7	1632
NC_005823.1	2040979	LIC_RS08555	-	NA	NA	NA	2040823;21	NA	1633
NC_005823.1	2040983	LIC_RS08555	-	2040823;3	NA	NA	NA	2040408;4	1633
NC_005823.1	2041525	LIC_RS08560	-	2040919;11	2040649;3	NA	2040823;87	2040822;31	1634
NC_005823.1	2042508	unaware	-	NA	NA	NA	NA	2041909;2	1635
NC_005823.1	2042653	LIC_RS08565	-	NA	NA	NA	2042106;2	NA	1636
NC_005823.1	2043536	unaware	-	NA	NA	NA	2043312;3	NA	1637
NC_005823.1	2045169	unaware	-	NA	NA	NA	NA	2044811;2	1638
NC_005823.1	2047598	LIC_RS08590	-	NA	2047325;1	NA	2047136;2	NA	1639
NC_005823.1	2048126	LIC_RS08595	-	2047833;1	NA	NA	NA	NA	1640
NC_005823.1	2048174	LIC_RS08595	-	NA	NA	NA	2047832;6	NA	1641
NC_005823.1	2048178	LIC_RS08595	-	2047987;1	NA	NA	NA	NA	1641
NC_005823.1	2048179	LIC_RS08595	-	NA	NA	NA	NA	2046255;3	1641
NC_005823.1	2048193	LIC_RS08590	-	NA	2047397;1	NA	NA	NA	1642
NC_005823.1	2051849	unaware	-	2051454;4	NA	NA	2051489;22	2051464;6	1643
NC_005823.1	2052139	LIC_RS20855	-	NA	NA	NA	2051489;2	NA	1644
NC_005823.1	2052178	unaware	-	NA	NA	NA	2051470;2	NA	1645
NC_005823.1	2053460	unaware	-	NA	NA	NA	NA	2052769;7	1646
NC_005823.1	2053461	unaware	-	NA	NA	NA	2052769;10	NA	1646
NC_005823.1	2053542	LIC_RS08620	-	NA	NA	NA	2053295;1	NA	1647
NC_005823.1	2053595	LIC_RS08620	-	NA	NA	NA	2053275;1	NA	1648
NC_005823.1	2053598	LIC_RS08620	-	NA	NA	NA	NA	2053164;1	1648
NC_005823.1	2053629	LIC_RS08620	-	NA	NA	NA	NA	2053069;1	1649
NC_005823.1	2055275	unaware	-	NA	NA	NA	2054779;13	NA	1650
NC_005823.1	2055301	unaware	-	NA	NA	NA	NA	2054741;2	1651
NC_005823.1	2055539	unaware	-	NA	NA	NA	2054276;2	NA	1652
NC_005823.1	2058097	unaware	-	NA	NA	NA	2057637;4	NA	1653
NC_005823.1	2064039	LIC_RS08655	-	NA	NA	NA	2063581;8	NA	1654
NC_005823.1	2064040	LIC_RS08655	-	NA	NA	NA	NA	2063666;2	1654
NC_005823.1	2064337	LIC_RS08655	-	2063914;4	NA	NA	NA	NA	1655
NC_005823.1	2065197	LIC_RS08660	-	2064926;1	NA	NA	NA	NA	1656
NC_005823.1	2065212	LIC_RS08660	-	2064807;1	NA	NA	NA	NA	1657
NC_005823.1	2065213	LIC_RS08660	-	NA	NA	NA	2064038;14	2064596;3	1657
NC_005823.1	2068064	unaware	-	NA	NA	NA	NA	2067083;10	1658
NC_005823.1	2068066	unaware	-	NA	NA	NA	2067621;36	NA	1658
NC_005823.1	2068067	unaware	-	2067368;2	NA	NA	NA	NA	1658
NC_005823.1	2069442	LIC_RS08675	-	NA	NA	NA	2068549;28	NA	1659
NC_005823.1	2069443	LIC_RS08675	-	NA	NA	NA	NA	2069016;19	1659
NC_005823.1	2069452	LIC_RS08675	-	2069230;8	NA	NA	NA	NA	1659
NC_005823.1	2070193	unaware	-	2069720;2	NA	NA	NA	NA	1660
NC_005823.1	2070673	unaware	-	2070407;3	NA	NA	NA	NA	1661
NC_005823.1	2071091	LIC_RS08680	-	NA	NA	NA	NA	2069936;1	1662
NC_005823.1	2071111	LIC_RS08680	-	NA	NA	NA	2070102;3	NA	1663
NC_005823.1	2071126	LIC_RS08680	-	NA	NA	NA	NA	2070960;1	1664
NC_005823.1	2071170	LIC_RS08680	-	NA	NA	NA	NA	2071067;1	1665
NC_005823.1	2071265	LIC_RS08680	-	NA	NA	NA	2070959;2	NA	1666
NC_005823.1	2071318	LIC_RS08680	-	2071026;1	NA	NA	NA	NA	1667
NC_005823.1	2071374	LIC_RS08680	-	2070919;1	NA	NA	NA	NA	1668
NC_005823.1	2071590	LIC_RS08685	-	NA	NA	NA	2069936;12	NA	1669
NC_005823.1	2071694	LIC_RS08685	-	NA	NA	NA	NA	2071450;2	1670
NC_005823.1	2071828	LIC_RS08690	-	2071635;27	NA	NA	NA	NA	1671
NC_005823.1	2071907	LIC_RS08690	-	2071636;36	NA	NA	2071455;269	2071455;78	1672
NC_005823.1	2071907	LIC_RS08685	-	NA	NA	2071269;1	NA	NA	1672
NC_005823.1	2072122	LIC_RS08685	-	NA	NA	2071269;1	NA	NA	1673
NC_005823.1	2072211	LIC_RS08695	-	2071635;3	NA	NA	2071636;87	2071830;13	1674
NC_005823.1	2072765	LIC_RS08705	-	2072172;4	NA	NA	2072264;18	2071488;5	1675
NC_005823.1	2075909	LIC_RS08715	-	NA	NA	NA	NA	2075753;1	1676
NC_005823.1	2076033	LIC_RS08715	-	NA	NA	NA	NA	2074575;1	1677
NC_005823.1	2076087	LIC_RS08715	-	NA	NA	NA	NA	2075742;1	1678
NC_005823.1	2078442	LIC_RS08720	-	NA	NA	NA	NA	2077898;7	1679
NC_005823.1	2078545	LIC_RS08720	-	NA	NA	NA	2078303;39	2078095;7	1680
NC_005823.1	2078548	LIC_RS08720	-	2078316;5	NA	NA	NA	NA	1680
NC_005823.1	2078795	unaware	-	NA	NA	NA	2078058;5	NA	1681
NC_005823.1	2080549	unaware	-	NA	NA	NA	2080330;10	NA	1682
NC_005823.1	2081591	unaware	-	NA	NA	NA	2080890;4	2081029;2	1683
NC_005823.1	2083001	LIC_RS08730	-	NA	NA	NA	2082319;20	NA	1684
NC_005823.1	2083002	LIC_RS08730	-	NA	NA	NA	NA	2082252;8	1684
NC_005823.1	2084586	LIC_RS08735	-	2083537;6	NA	NA	2084277;69	2084067;17	1685
NC_005823.1	2086336	unaware	-	NA	NA	NA	2086006;2	NA	1686
NC_005823.1	2089083	unaware	-	2088145;2	NA	NA	NA	NA	1687
NC_005823.1	2090969	LIC_RS08760	-	2090234;3	NA	NA	NA	NA	1688
NC_005823.1	2090972	LIC_RS08760	-	NA	NA	NA	2090403;19	NA	1688
NC_005823.1	2090973	LIC_RS08760	-	NA	NA	NA	NA	2090002;8	1688
NC_005823.1	2093260	unaware	-	2092803;2	NA	NA	NA	NA	1689
NC_005823.1	2093262	unaware	-	NA	NA	NA	NA	2093058;2	1689
NC_005823.1	2093333	unaware	-	NA	NA	NA	2092901;2	NA	1690
NC_005823.1	2094645	unaware	-	2094460;2	NA	NA	NA	NA	1691
NC_005823.1	2094754	unaware	-	NA	NA	NA	NA	2094157;2	1692
NC_005823.1	2094766	unaware	-	NA	NA	NA	2094461;8	NA	1693
NC_005823.1	2095469	LIC_RS08775	-	NA	2094963;1	NA	NA	NA	1694
NC_005823.1	2095515	LIC_RS08775	-	NA	NA	NA	2094744;12	NA	1695
NC_005823.1	2095519	LIC_RS08775	-	2094986;2	NA	NA	NA	NA	1695
NC_005823.1	2095845	LIC_RS08775	-	NA	2094983;1	NA	NA	NA	1696
NC_005823.1	2097034	unaware	-	NA	NA	NA	2096244;17	NA	1697
